,City,Temperature,Wind,Cloud,Humidity,Latitude,Longitude,Country,Date
0,chuy,60.62,5.37,2,83,-33.7,-53.46,UY,1587173981
1,hualmay,70.99,6.62,100,78,-11.1,-77.61,PE,1587174162
2,mataura,59.0,8.99,35,67,-46.19,168.86,NZ,1587173972
3,atuona,82.35,13.06,84,75,-9.8,-139.03,PF,1587173979
4,tuatapere,59.0,8.99,34,67,-46.13,167.68,NZ,1587173992
5,bathsheba,80.6,14.99,40,74,13.22,-59.52,BB,1587174163
6,margate,48.0,11.01,99,76,51.38,1.39,GB,1587174163
7,ushuaia,51.8,19.46,40,40,-54.8,-68.3,AR,1587174140
8,ayan,24.91,13.67,80,80,56.45,138.17,RU,1587174163
9,namatanai,83.17,7.63,98,73,-3.67,152.43,PG,1587173887
10,avarua,82.4,6.93,10,61,-21.21,-159.78,CK,1587174163
11,harper,81.27,10.6,97,87,4.38,-7.72,LR,1587174163
12,namibe,73.78,5.99,81,71,-15.2,12.15,AO,1587174008
13,touros,77.0,8.28,20,94,-5.2,-35.46,BR,1587174164
14,butaritari,82.33,14.81,82,80,3.07,172.79,KI,1587173865
15,itarema,76.08,3.09,75,87,-2.92,-39.92,BR,1587174164
16,bredasdorp,55.99,4.7,100,87,-34.53,20.04,ZA,1587174164
17,bonthe,80.01,8.81,100,84,7.53,-12.51,SL,1587174164
18,airai,73.24,4.32,94,52,-8.93,125.41,TL,1587174036
19,bethel,37.99,5.21,90,86,41.37,-73.41,US,1587173983
20,kaitangata,53.01,24.0,96,82,-46.28,169.85,NZ,1587174165
21,busselton,64.0,7.09,98,51,-33.65,115.33,AU,1587173868
22,chapada dos guimaraes,78.8,9.17,80,50,-15.46,-55.75,BR,1587174165
23,port alfred,64.0,4.0,55,94,-33.59,26.89,ZA,1587174165
24,vaini,82.4,10.29,20,69,-21.2,-175.2,TO,1587174165
25,saint-denis,64.4,12.75,98,59,48.92,2.33,FR,1587174165
26,rikitea,77.36,1.99,1,63,-23.12,-134.97,PF,1587173875
27,albany,41.0,3.87,100,72,42.6,-73.97,US,1587174004
28,nabire,89.26,5.84,66,59,-3.37,135.48,ID,1587174166
29,punta arenas,51.8,11.41,14,66,-53.15,-70.92,CL,1587173970
30,talnakh,28.4,20.13,97,79,69.49,88.4,RU,1587174166
31,bud,39.2,16.11,90,86,39.45,-86.18,US,1587173869
32,bluff,57.99,11.01,47,65,-46.6,168.33,NZ,1587174166
33,apango,69.3,5.7,81,49,17.73,-99.33,MX,1587174167
34,victoria,78.01,8.01,100,69,22.29,114.16,HK,1587174167
35,vao,74.79,9.75,51,69,-22.67,167.48,NC,1587174167
36,nishihara,77.0,12.75,40,69,26.18,127.76,JP,1587174167
37,brae,37.4,2.24,0,67,60.4,-1.35,GB,1587173882
38,yellowknife,28.0,9.17,75,58,62.46,-114.35,CA,1587174167
39,faanui,82.85,3.98,100,67,-16.48,-151.75,PF,1587174167
40,miyako,49.96,12.97,100,82,39.64,141.95,JP,1587174167
41,ponta do sol,57.0,3.0,12,70,32.67,-17.1,PT,1587173980
42,ternate,84.51,4.18,19,75,0.8,127.4,ID,1587173871
43,ribeira grande,60.24,12.75,67,80,38.52,-28.7,PT,1587173874
44,verkhnevilyuysk,15.21,6.58,100,87,63.45,120.32,RU,1587174168
45,ntchisi,58.93,6.55,59,69,-13.53,33.91,MW,1587174168
46,malanville,85.46,3.02,62,13,11.87,3.39,BJ,1587174168
47,shakhtinsk,44.6,11.18,28,44,49.71,72.59,KZ,1587174169
48,auning,28.4,1.12,0,86,56.43,10.38,DK,1587174169
49,hermanus,57.0,5.01,84,83,-34.42,19.23,ZA,1587174169
50,tuktoyaktuk,15.8,12.75,90,85,69.45,-133.04,CA,1587174169
51,noshiro,55.4,2.24,75,62,40.2,140.02,JP,1587174169
52,tasiilaq,33.8,14.99,73,86,65.61,-37.64,GL,1587173970
53,elizabeth city,64.4,16.11,1,55,36.29,-76.25,US,1587174170
54,geraldton,79.0,8.05,40,61,-28.77,114.6,AU,1587174170
55,lompoc,57.2,6.93,90,76,34.64,-120.46,US,1587174170
56,kamenka,32.0,8.84,1,84,51.32,42.77,RU,1587174170
57,murdochville,15.73,6.11,0,90,48.96,-65.5,CA,1587174170
58,hirado,63.0,16.11,40,59,33.36,129.55,JP,1587174170
59,lebu,60.78,3.69,100,94,-37.62,-73.65,CL,1587173984
60,cabo san lucas,79.0,26.4,5,77,22.89,-109.91,MX,1587174139
61,port elizabeth,62.6,5.82,57,88,-33.92,25.57,ZA,1587174171
62,shenjiamen,60.67,14.14,86,73,29.96,122.3,CN,1587174171
63,lasa,48.0,1.57,93,51,46.62,10.7,IT,1587174044
64,tevaitoa,83.88,2.84,100,64,-16.78,-151.5,PF,1587174171
65,kapaa,80.6,11.41,1,61,22.08,-159.32,US,1587173997
66,hofn,42.24,10.0,100,83,64.25,-15.21,IS,1587174171
67,castro,51.35,3.85,69,67,-24.79,-50.01,BR,1587174171
68,toora-khem,39.49,5.41,38,45,52.47,96.11,RU,1587174172
69,arraial do cabo,73.8,10.36,73,70,-22.97,-42.03,BR,1587173926
70,ambilobe,73.6,7.11,56,74,-13.2,49.05,MG,1587174172
71,bilma,80.44,8.23,0,13,18.69,12.92,NE,1587174172
72,hilo,80.6,10.29,40,57,19.73,-155.09,US,1587174172
73,jalingo,84.13,4.63,0,54,8.88,11.37,NG,1587174172
74,waipawa,64.4,19.46,1,63,-41.41,175.52,NZ,1587174173
75,saskylakh,8.71,4.99,0,88,71.92,114.08,RU,1587173929
76,terenos,66.2,4.7,0,55,-20.44,-54.86,BR,1587174173
77,provideniya,26.51,20.11,100,95,64.38,-173.3,RU,1587174173
78,saldanha,53.6,3.36,8,76,-33.01,17.94,ZA,1587174173
79,mahebourg,75.2,3.36,40,78,-20.41,57.7,MU,1587174032
80,snyder,51.8,4.7,1,62,32.72,-100.92,US,1587174173
81,zlobin,44.01,5.99,65,82,45.29,14.65,HR,1587174173
82,pisco,71.01,13.87,3,77,-13.7,-76.22,PE,1587174174
83,shimoda,62.6,28.86,75,88,34.67,138.95,JP,1587174174
84,puerto ayora,77.0,6.33,82,91,-0.74,-90.35,EC,1587174174
85,new norfolk,55.0,3.0,93,79,-42.78,147.06,AU,1587173927
86,thompson,32.0,6.93,90,97,55.74,-97.86,CA,1587173970
87,kunda,93.42,4.29,17,17,25.72,81.52,IN,1587174174
88,pevek,8.28,9.26,23,93,69.7,170.31,RU,1587173944
89,rancho santa margarita,62.01,8.01,49,76,33.64,-117.6,US,1587174176
90,chokurdakh,-3.08,4.85,50,90,70.63,147.92,RU,1587173979
91,chateauroux,55.4,6.93,86,100,46.82,1.7,FR,1587174176
92,nikolskoye,37.4,15.66,75,89,59.7,30.79,RU,1587173909
93,camacha,60.8,5.82,20,72,33.08,-16.33,PT,1587174176
94,matinha,73.94,1.21,100,96,-3.1,-45.03,BR,1587174177
95,marawi,86.72,3.96,2,37,8.0,124.29,PH,1587174177
96,severo-kurilsk,32.92,12.95,8,92,50.68,156.12,RU,1587174177
97,bandarbeyla,81.5,6.85,42,72,9.49,50.81,SO,1587174177
98,kandi,83.79,5.5,38,54,11.13,2.94,BJ,1587174177
99,kenai,48.2,3.44,90,70,60.55,-151.26,US,1587174177
100,ziro,58.03,1.72,92,51,27.63,93.83,IN,1587174177
