,City,Country,Latitude,Longitude,Hotel Name
26,eyemouth,GB,55.87,-2.09,The Home Arms Bed and Breakfast Guest House
33,roald,NO,62.58,6.13,Vestavind Hytter og Rom AS
43,hovd,MN,48.01,91.64,Steppe hotel
49,marsa matruh,EG,31.35,27.25,Beau Site
50,port elizabeth,ZA,-33.92,25.57,Millbury Guesthouse
116,baykit,RU,61.67,96.37,
120,nhulunbuy,AU,-12.23,136.77,Walkabout Lodge & Tavern
138,ulaangom,MN,49.98,92.07,Baylagod hotel
142,nanchang,CN,28.68,115.88,Sheraton Nanchang Hotel
156,laizhou,CN,37.18,119.93,Baidu International Hotel
166,aykhal,RU,66.0,111.5,
186,chuy,UY,-33.7,-53.46,Bertelli Chuí Hotel
193,zharkent,KZ,44.16,80.0,гостиница Satti
197,saskylakh,RU,71.92,114.08,
259,diego de almagro,CL,-26.37,-70.05,hotel luna del desierto
277,jalu,LY,29.03,21.55,Jalu Hotel
280,ligayan,PH,4.65,119.47,
342,darhan,MN,49.49,105.92,Buudai Hotel
362,chadan,RU,51.28,91.58,
372,raudeberg,NO,61.99,5.14,Ulvesund FYR
379,yerbogachen,RU,61.28,108.01,
380,hvide sande,DK,56.0,8.13,Dancamps Holmsland
385,thaba-tseka,LS,-29.52,28.61,Mohale Oa Masite Hotel
390,resistencia,AR,-27.46,-58.98,Niyat Urban Hotel
396,nizhneudinsk,RU,54.91,99.03,"Hotel ""Uda"""
419,vilyuysk,RU,63.76,121.62,Gostinitsa Viliuisk
420,tomatlan,MX,19.93,-105.25,Hotel Misión San Miguel
435,dalby,AU,-27.18,151.27,The Gallery Motor Inn
436,thisted,DK,56.96,8.69,Thisted Bed and Breakfast
449,valparaiso,CL,-33.04,-71.63,Hotel Palacio Astoreca
454,byron bay,AU,-28.65,153.62,Bayhaven Lodge
466,esna,EG,25.29,32.55,Dahabeya Queen Farida Sailing Boat - Esna/Aswan 5 Nights
492,kodinsk,RU,58.69,99.18,
517,pando,UY,-34.72,-55.95,
538,rocha,UY,-34.48,-54.33,Beleza Pura B&B
540,victoria point,AU,-27.58,153.3,Cleveland Visitor Villas Motel
